School Name,District Name,School Type,Census Day Enrollment,American Indian or Alaska Native #,Asian #,Asian %,Black or African American #,,Filipino #,Filipino %,Hispanic or Latino #,Hispanic or Latino %,Native Hawaiian or Pac Islander #,Native Hawaiian or Pac Islander %,Two or More Races #,Two or More Races %,None Reported # (School),None %,White #,White %,Free/Reduced Meals %,Suspension Rate,Chronic Absenteeism %,Chronic Absenteeism #,CAASPP-Math Standard Exceeded or Met (Levels 3 and 4),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4)
Vincent Academy,Oakland Unified,Elementary,242,0,0,0,162,66.94,0,0,43,17.77,0,0,13,5.37,1,0.41,23,9.5,79.8,5.8,31.2,78,13.92,15.19
Vineyard Alternative,Livermore Valley Joint Unified,Alternative,136,1,2,1.47,4,2.94,2,1.47,44,32.35,0,0,13,9.56,0,0,70,51.47,30.2,0.5,54.6,107,18.97,40.68
Vintage Hills Elementary,Pleasanton Unified,Elementary,629,0,236,37.52,13,2.07,10,1.59,48,7.63,2,0.32,43,6.84,3,0.48,274,43.56,7.3,0.4,3.3,22,82.84,82.24
Vista Alternative,Fremont Unified,Alternative,34,0,3,8.82,3,8.82,2,5.88,6,17.65,2,5.88,2,5.88,0,0,16,47.06,55.9,0,34.5,19,0,69.23
Walnut Grove Elementary,Pleasanton Unified,Elementary,749,0,294,39.25,6,0.8,5,0.67,29,3.87,1,0.13,46,6.14,4,0.53,364,48.6,4,0.4,1.2,9,77.43,80.1
Warm Springs Elementary,Fremont Unified,Elementary,1054,3,937,88.9,6,0.57,12,1.14,28,2.66,1,0.09,19,1.8,0,0,48,4.55,5.1,0.2,2,22,92.14,91.06
Warwick Elementary,Fremont Unified,Elementary,912,2,607,66.56,17,1.86,54,5.92,111,12.17,5,0.55,35,3.84,9,0.99,72,7.89,15.5,0.5,4.2,40,73.4,77.73
Washington Elementary,San Leandro Unified,Elementary,398,1,31,7.79,38,9.55,10,2.51,254,63.82,0,0,27,6.78,4,1.01,33,8.29,67.3,0,11.5,60,67.15,64.53
Washington Elementary,Berkeley Unified,Elementary,501,1,49,9.78,65,12.97,4,0.8,85,16.97,1,0.2,77,15.37,0,0,219,43.71,28.5,2.1,10.3,43,40.21,30.69
Washington High,Fremont Unified,High School,1918,4,775,40.41,63,3.28,151,7.87,447,23.31,14,0.73,81,4.22,3,0.16,380,19.81,29.6,5,11.3,222,56.76,72.52
Washington Manor Middle,San Lorenzo Unified,Middle,760,2,193,25.39,51,6.71,81,10.66,313,41.18,9,1.18,34,4.47,2,0.26,75,9.87,52.2,6.8,7.2,56,29.76,44.77
Wells Middle,Dublin Unified,Middle,996,0,247,24.8,53,5.32,73,7.33,195,19.58,5,0.5,92,9.24,0,0,331,33.23,16.2,2.2,5.2,53,52.7,64.9
West Oakland Middle,Oakland Unified,Middle,199,1,17,8.54,120,60.3,0,0,37,18.59,1,0.5,3,1.51,7,3.52,13,6.53,94,26.6,51.4,109,8.56,13.04
Westlake Middle,Oakland Unified,Middle,307,0,41,13.36,152,49.51,6,1.95,81,26.38,1,0.33,8,2.61,9,2.93,9,2.93,85.3,19.8,34.2,122,5.66,12.08
Wildwood Elementary,Piedmont City Unified,Elementary,296,0,32,10.81,0,0,2,0.68,34,11.49,0,0,53,17.91,0,0,175,59.12,0,0.3,2,6,91.72,89.81
Will C. Wood Middle,Alameda Unified,Middle,575,1,156,27.13,55,9.57,48,8.35,117,20.35,9,1.57,54,9.39,7,1.22,128,22.26,43.5,2.8,12.4,76,41.5,56.02
Willard Middle,Berkeley Unified,Middle,667,2,38,5.7,93,13.94,7,1.05,122,18.29,1,0.15,119,17.84,0,0,285,42.73,35.5,2.4,6,40,70.22,77.34
William G. Paden Elementary,Alameda Unified,Elementary,397,2,93,23.43,30,7.56,33,8.31,76,19.14,3,0.76,50,12.59,14,3.53,96,24.18,45.6,1.4,11.7,49,53.89,54.49
William Hopkins Junior High,Fremont Unified,Middle,1060,1,910,85.85,8,0.75,12,1.13,57,5.38,0,0,26,2.45,0,0,46,4.34,7.6,1.8,1.8,19,90.82,91.96
William Mendenhall Middle,Livermore Valley Joint Unified,Middle,965,3,88,9.12,4,0.41,28,2.9,169,17.51,1,0.1,100,10.36,0,0,572,59.27,8.5,2.1,3.5,34,63.06,75.13
Wilson Elementary,San Leandro Unified,Elementary,748,1,154,20.59,40,5.35,84,11.23,383,51.2,9,1.2,33,4.41,7,0.94,37,4.95,70.6,0.4,14,109,37.67,46.24
Winton Middle,Hayward Unified,Middle,505,0,22,4.36,31,6.14,21,4.16,395,78.22,14,2.77,8,1.58,0,0,14,2.77,74.1,9.2,11.4,59,19.06,32.58
Yu Ming Charter,Alameda County Office of Education,Elementary,445,0,205,46.07,27,6.07,7,1.57,26,5.84,1,0.22,143,32.13,0,0,36,8.09,14.4,0.2,1.1,5,93.97,93.53
